ax_lin,ay_lin,az_lin
-18.360100,1.434200,-18.647500
-16.464300,-20.141900,-6.813000
-11.694500,-18.134700,8.787100
-18.127500,-19.950500,8.278400
-18.036800,-13.785900,10.407400
9.537000,14.739000,-5.131400
-17.994300,17.269900,-17.106800
-17.904400,1.748600,-15.586700
-17.814900,-2.482900,6.186500
21.317400,-6.907700,4.952100
14.665200,-5.338500,10.488800
9.956900,10.301900,10.436400
-2.148700,18.819800,-15.373500
-17.944700,13.013600,-19.202500
-3.954700,-2.901100,-8.237400
-17.835200,-2.774600,9.126100
-17.746100,-11.887800,5.332000
-17.657300,2.474700,10.526000
-17.569000,8.865500,10.473300
-17.481200,18.582200,-16.008800
21.030400,12.922500,-19.045800
-17.498900,-1.335600,-12.347100
-12.788300,-6.769400,7.105400
-17.347500,-10.727100,7.575100
14.888900,-19.962600,10.584600
-17.335200,-1.175000,10.531600
-17.248500,-1.817300,-6.764100
3.107900,9.756700,-17.208600
-17.177800,1.772400,-20.330100
3.018600,-20.062800,-3.263500
-6.700300,-16.011400,10.716800
-13.682500,-19.882400,6.715100
21.886200,-19.783000,10.629700
-17.114600,-9.172500,10.576500
3.029100,-2.716200,-6.998300
-4.757200,-2.214100,-17.789500
-17.020300,19.429700,-22.090100
9.564200,-14.010500,-8.024500
-5.332400,-19.640600,8.606300
-16.956400,-19.542400,9.199600
-16.871600,-19.444700,10.457100
-9.461800,-14.431300,10.656800
-12.133500,-4.541000,10.603500
9.512800,2.073200,-16.637000
-16.726800,-4.757400,-18.443600
-13.314100,-12.874100,-20.067200
0.926800,19.868300,-2.003500
-7.142000,-14.417600,10.836300
0.357400,-19.202100,8.900100
0.839300,15.135900,10.737600
-16.551600,-4.206700,10.683900
0.872600,-1.826500,10.630500
-14.080600,8.532200,-15.352000
-3.429500,5.241500,-18.766400
1.067800,-4.436100,-21.286700
-16.162200,-19.198300,-6.822500
7.718100,-19.102300,10.205100
-12.983900,20.036400,8.435900
-2.912500,-19.107000,10.795300
-4.906900,20.031800,1.195400
22.627500,3.465400,7.318600
-2.881700,19.914300,-17.697000
2.811500,6.570300,-19.233800
4.398800,-9.269200,-19.128100
0.592600,-11.598800,-0.227800
-2.658500,-15.172600,10.980200
-4.849500,-11.731800,8.611900
-2.914100,-14.528100,10.882200
-1.100300,-14.588900,10.827800
-5.034000,-5.534200,10.773600
-3.185800,2.097700,-16.165100
0.349900,-5.803000,-18.503100
0.491100,19.962900,-21.832600
2.194900,-15.577600,-5.144600
-0.442100,-18.852600,9.498700
-8.594700,-13.701600,7.887900
-5.968500,-10.949700,6.025500
-1.935200,-3.793500,10.910900
-16.214200,4.001300,10.699700
-5.547700,10.525200,-14.654600
-3.410900,5.673100,-19.292600
-5.498100,-2.641100,-20.270900
3.248900,-14.676600,-5.022900
3.964300,-11.998500,10.990100
-1.276800,-15.827700,9.340900
-0.357700,-16.663600,10.997400
-5.774900,-10.813300,10.942500
-1.578100,-3.812700,10.887700
-0.767100,6.069800,-10.761200
-0.036500,-0.239900,-18.859800
-1.716300,-5.114400,-22.147100
2.119400,-14.347000,-12.089500
3.033400,-18.266800,5.043100
-0.580100,-14.984600,10.193800
-2.738700,-17.364200,7.554900
-0.859000,-14.675100,11.038600
-1.269400,-13.977400,10.983400
1.610900,-7.632900,2.586100
0.930800,-5.319000,-15.952600
2.842100,-1.226900,-19.978900
6.283300,-6.999600,-20.243600
6.530700,-16.322800,-5.932300
6.915100,-15.290400,8.493400
1.032600,-14.820700,10.197700
1.954400,-15.356700,8.929000
2.554700,-15.982900,11.088000
6.419100,-14.942600,4.718100
2.950700,-1.942300,5.805000
-1.496500,0.848400,-15.468800
1.234800,-6.450300,-19.700000
0.759100,-10.300000,-20.676300
1.279600,-15.040800,-6.014900
1.065900,-12.809000,8.199100
-1.741900,-14.065100,9.499700
-2.762700,-17.002200,9.390300
-0.129900,-16.917200,11.153800
1.145700,-9.685900,11.098100
7.073700,-9.270400,-17.496200
2.155500,0.992000,-16.774800
7.056200,-4.565400,-19.998600
6.544300,-9.087100,-17.136700
5.715600,-12.439900,0.619300
4.247700,-11.886800,10.629800
-2.110000,-14.038800,7.476300
2.888200,-13.870900,11.306000
-2.316500,-12.617200,11.249400
-1.392200,-4.914000,10.540800
-5.569900,-0.068600,-13.444800
0.875500,-4.777100,-18.984900
3.580700,-8.620900,-20.908400
-0.100000,-14.080300,-11.116800
3.413100,-15.444500,5.000500
1.210800,-14.890600,10.821200
-1.917000,-15.035400,7.564200
-0.847000,-15.937300,11.345800
1.800000,-11.970800,9.878900
1.669500,-5.405300,11.239700
1.129700,5.583700,-9.820000
2.777900,-4.707900,-17.651700
3.278800,-14.535900,-5.498100
5.693100,-9.716200,-15.038500
5.664600,-9.667600,-14.963300
5.452800,-13.687100,2.364800
