time,ax_lin,ay_lin,az_lin
18.000000,-11.421400,18.691853,12.925872
18.039999,-12.777804,2.932970,12.755176
18.080000,-12.651007,0.461453,-7.052011
18.119999,-12.544096,1.792817,-6.554326
18.160000,0.796253,-7.141440,-9.846559
18.199999,0.703469,-6.975959,-9.893157
18.240000,8.038424,18.272717,4.840097
18.279999,-12.894418,-5.041736,6.987141
18.320000,-12.954095,0.175856,-12.600116
18.359999,-13.013027,0.521366,-12.573985
18.400000,-8.147014,6.839844,12.429534
18.440001,-8.401634,7.100676,12.293857
18.480000,-13.484104,-3.130815,-15.065814
18.520000,-13.493373,21.855074,12.291216
18.559999,-4.163716,2.702667,12.047946
18.600000,-4.561603,2.918700,11.833161
18.639999,-14.276464,22.113441,11.779600
18.680000,-13.889887,-8.377904,12.060397
18.719999,-13.699063,-17.097042,12.215803
18.760000,-11.084706,2.780620,-7.192679
18.799999,-13.539222,-16.650913,-2.662323
18.840000,-13.519167,-16.734449,-11.571999
18.879999,-13.475838,-16.605883,-19.580845
18.920000,-13.423480,-5.765081,-14.842605
18.959999,-12.994930,-11.816950,-16.841404
19.000000,-7.085107,-8.167122,-11.956982
19.039999,-13.031404,2.580374,-15.999471
19.080000,-5.373310,-16.275520,9.756478
19.119999,-13.274173,-12.674639,12.943781
19.160000,-3.858742,19.511532,13.292345
19.199999,-13.106771,20.456884,13.052851
19.240000,-13.137135,-1.904826,-5.876138
19.279999,-13.203096,-16.596603,11.871304
19.320000,-2.949723,5.433264,13.992315
19.359999,-1.246167,18.908836,2.102857
19.400000,4.687651,-17.440163,-15.371094
19.439999,4.627130,-17.306704,-15.402537
19.480000,13.788013,-17.278299,-0.186581
19.520000,-12.024720,19.470636,13.932922
19.559999,-12.040110,8.913529,13.764662
19.600000,3.855130,-14.612469,-6.568639
19.639999,-9.314258,14.341486,13.448527
19.680000,-12.409895,21.812180,8.233516
19.719999,-6.800875,-0.076906,6.128049
19.760000,-12.285040,8.211260,-8.720752
19.799999,-12.540708,-17.049000,-19.820738
19.840000,15.727945,-16.725422,-6.561618
19.879999,6.588050,17.577871,3.132624
19.920000,-12.897378,-18.341263,6.869267
19.959999,6.710073,-11.209053,7.310879
20.000000,-13.187501,-18.405745,12.312923
20.039999,-13.604147,-18.374147,8.580552
20.080000,-13.476024,-18.263554,1.792554
20.119999,-13.174723,-5.272848,5.268467
20.160000,-12.777273,-18.231041,10.252688
20.199999,-12.599352,20.996159,12.907388
20.240000,-9.463066,-2.547738,11.670573
20.279999,-12.687398,-17.861389,-12.941395
20.320000,-12.763970,-17.487743,-12.911694
20.359999,3.113330,-12.186025,-22.017082
20.400000,-12.629641,11.293303,13.164522
20.439999,-12.849444,17.919491,12.976216
20.480000,-12.998406,2.715085,8.914646
20.520000,-12.851184,7.377936,12.787903
20.559999,-8.087377,19.660610,12.554331
20.600000,-6.768829,21.261206,12.224730
20.639999,6.191556,2.026459,-7.582614
20.680000,-13.656876,4.717083,9.528521
20.719999,-14.144635,-14.773368,-16.861052
20.760000,-5.861940,-16.584915,-7.034022
20.799999,5.570221,3.423425,-7.537161
20.840000,-14.270040,12.864670,12.036088
20.879999,2.426720,-5.220816,3.859172
20.920000,-14.282153,-15.942335,-14.512440
20.959999,-0.438989,8.193690,-2.534297
21.000000,-13.969769,-16.393404,6.935046
21.039999,-13.691743,-16.648489,7.047466
21.080000,2.987824,-11.741500,10.018353
21.119999,-9.991419,22.774548,12.272738
21.160000,-14.110545,-6.086989,12.224833
21.199999,17.323521,-16.235783,-9.538908
21.240000,-4.218060,18.737755,4.797380
21.279999,3.928024,-16.257099,-8.705761
21.320000,1.298603,-3.861111,2.800310
21.359999,9.211987,-10.641397,10.770811
21.400000,5.748739,-3.331143,11.360110
21.439999,4.349757,2.848934,0.618106
21.480000,6.303403,1.631788,1.217984
21.520000,4.462291,6.467966,0.102030
21.559999,7.323820,0.479411,-0.894101
21.600000,4.309855,1.903442,2.163762
21.639999,5.469808,2.074630,2.040472
21.680000,4.620650,2.967435,2.503316
21.719999,4.523588,3.011762,2.424892
21.760000,4.477654,2.887445,2.371518
21.799999,4.382583,2.840937,2.355282
21.840000,4.344725,2.872788,2.373348
21.879999,4.245895,2.846449,2.210321
21.920000,4.181765,2.792801,2.204770
21.959999,4.176821,2.708197,2.121741
22.000000,4.143276,2.591530,2.105339
22.039999,4.038064,2.738705,2.117630
22.080000,3.931548,2.614986,2.135797
22.119999,3.918982,2.645375,1.963195
22.160000,3.854388,2.361781,1.959722
22.199999,3.820572,2.462321,1.813038
22.240000,3.740801,2.652524,1.843831
22.279999,3.668995,2.525754,1.949978
22.320000,3.683269,2.437542,1.906928
22.359999,3.629607,2.448267,1.839126
22.400000,3.508913,2.365856,1.784823
22.439999,3.441737,2.392464,1.932169
22.480000,3.514986,2.393667,1.718394
22.519999,3.573405,2.473914,1.651334
22.559999,3.460506,2.264283,1.672659
22.600000,3.350916,2.207322,1.738954
22.639999,3.230976,2.259826,1.678586
22.680000,3.296227,2.281873,1.594484
22.719999,3.179690,2.255273,1.567759
22.760000,3.158381,2.160432,1.526840
22.799999,3.081794,2.159102,1.587317
22.840000,3.016946,2.154656,1.630532
22.879999,3.212837,2.582736,1.620207
22.920000,2.688745,1.716849,1.463213
22.959999,2.976262,2.029485,1.552750
23.000000,2.607024,0.724212,1.328306
23.039999,1.951236,1.941229,1.600869
23.080000,3.630556,1.372394,1.545128
23.119999,2.688722,1.689938,1.393388
23.160000,2.742593,1.907523,1.330682
23.199999,2.867925,2.330059,1.215777
23.240000,2.676585,1.825317,1.326823
23.279999,2.717355,1.836323,1.285473
23.320000,2.641663,1.737291,1.209942
23.359999,2.554994,1.514455,1.520230
23.400000,2.534437,1.771973,1.110182
23.439999,2.576581,1.703886,1.150913
23.480000,2.384806,1.838971,0.987196
23.519999,2.385822,1.762019,1.214664
23.559999,2.310412,1.592406,0.981319
23.600000,2.500020,1.499458,1.232160
23.639999,2.447582,1.637859,0.913869
23.680000,2.453930,1.595570,0.869934
23.719999,2.375826,1.238268,1.267176
23.760000,1.968917,2.517689,0.361109
